U.S. Census Bureau,
Source: Advance Monthly Sales for Retail and Food Services,
448: Clothing and Clothing Access. Stores: U.S. Total,
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 1992 to 2025,
Data Extracted on: July 26, 2025 (4:17 pm)
Link to the original data source: https://www.census.gov/econ/currentdata/?programCode=MARTS&startYear=1992&endYear=2025&categories[]=448&dataType=SM&geoLevel=US&adjusted=0&notAdjusted=1&errorData=0,
,
Period,Value
Jan-92,6734
Feb-92,7302
Mar-92,8245
Apr-92,9152
May-92,9294
Jun-92,8930
Jul-92,8846
Aug-92,10226
Sep-92,9311
Oct-92,9974
Nov-92,10876
Dec-92,17834
Jan-93,7297
Feb-93,7306
Mar-93,8531
Apr-93,9610
May-93,9787
Jun-93,9364
Jul-93,9511
Aug-93,10331
Sep-93,9735
Oct-93,10060
Nov-93,11430
Dec-93,18272
Jan-94,7077
Feb-94,7676
Mar-94,9661
Apr-94,9607
May-94,9736
Jun-94,9629
Jul-94,9467
Aug-94,10846
Sep-94,9936
Oct-94,10434
Nov-94,12003
Dec-94,19396
Jan-95,7306
Feb-95,7731
Mar-95,9552
Apr-95,9902
May-95,10323
Jun-95,10024
Jul-95,9514
Aug-95,10961
Sep-95,10417
Oct-95,10151
Nov-95,12401
Dec-95,19390
Jan-96,7460
Feb-96,8734
Mar-96,10066
Apr-96,10286
May-96,11082
Jun-96,10267
Jul-96,9915
Aug-96,11803
Sep-96,10327
Oct-96,10936
Nov-96,12514
Dec-96,19321
Jan-97,7959
Feb-97,8577
Mar-97,10551
Apr-97,9851
May-97,11182
Jun-97,10364
Jul-97,10442
Aug-97,12134
Sep-97,10649
Oct-97,11331
Nov-97,12894
Dec-97,20463
Jan-98,8556
Feb-98,9231
Mar-98,10572
Apr-98,11521
May-98,11914
Jun-98,11149
Jul-98,11334
Aug-98,12647
Sep-98,10922
Oct-98,12075
Nov-98,13504
Dec-98,21757
Jan-99,8993
Feb-99,9897
Mar-99,11781
Apr-99,12081
May-99,12833
Jun-99,11968
Jul-99,12150
Aug-99,13398
Sep-99,12053
Oct-99,12628
Nov-99,14282
Dec-99,23590
Jan-00,9206
Feb-00,10875
Mar-00,12535
Apr-00,12815
May-00,13393
Jun-00,12638
Jul-00,12199
Aug-00,14264
Sep-00,13046
Oct-00,13046
Nov-00,15299
Dec-00,24187
Jan-01,9803
Feb-01,11147
Mar-01,12749
Apr-01,13047
May-01,13443
Jun-01,12620
Jul-01,12291
Aug-01,14470
Sep-01,11815
Oct-01,12899
Nov-01,14977
Dec-01,23850
Jan-02,10071
Feb-02,11410
Mar-02,13632
Apr-02,12865
May-02,13785
Jun-02,12881
Jul-02,12557
Aug-02,14760
Sep-02,12138
Oct-02,13668
Nov-02,15524
Dec-02,24643
Jan-03,10523
Feb-03,11344
Mar-03,13125
Apr-03,13356
May-03,14360
Jun-03,13163
Jul-03,13519
Aug-03,15151
Sep-03,13236
Oct-03,14251
Nov-03,16155
Dec-03,26020
Jan-04,11489
Feb-04,12990
Mar-04,14410
Apr-04,14702
May-04,15002
Jun-04,13888
Jul-04,14314
Aug-04,15219
Sep-04,13884
Oct-04,15207
Nov-04,16823
Dec-04,27633
Jan-05,11740
Feb-05,13520
Mar-05,15358
Apr-05,15338
May-05,15597
Jun-05,15182
Jul-05,14865
Aug-05,16311
