U.S. Census Bureau
Source: Advance Monthly Sales for Retail and Food Services
448: Clothing and Clothing Access. Stores: U.S. Total
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]
Period: 1992 to 2025
Data Extracted on: July 26, 2025 (4:17 pm)

Period,Value
Jan-1992,6734
Feb-1992,7302
Mar-1992,8245
Apr-1992,9152
May-1992,9294
Jun-1992,8930
Jul-1992,8846
Aug-1992,10226
Sep-1992,9311
Oct-1992,9974
Nov-1992,10876
Dec-1992,17834
Jan-1993,7297
Feb-1993,7306
Mar-1993,8531
Apr-1993,9610
May-1993,9787
Jun-1993,9364
Jul-1993,9511
Aug-1993,10331
Sep-1993,9735
Oct-1993,10060
Nov-1993,11430
Dec-1993,18272
Jan-1994,7077
Feb-1994,7676
Mar-1994,9661
Apr-1994,9607
May-1994,9736
Jun-1994,9629
Jul-1994,9467
Aug-1994,10846
Sep-1994,9936
Oct-1994,10434
Nov-1994,12003
Dec-1994,19396
Jan-1995,7306
Feb-1995,7731
Mar-1995,9552
Apr-1995,9902
May-1995,10323
Jun-1995,10024
Jul-1995,9514
Aug-1995,10961
Sep-1995,10417
Oct-1995,10151
Nov-1995,12401
Dec-1995,19390
Jan-1996,7460
Feb-1996,8734
Mar-1996,10066
Apr-1996,10286
May-1996,11082
Jun-1996,10267
Jul-1996,9915
Aug-1996,11803
Sep-1996,10327
Oct-1996,10936
Nov-1996,12514
Dec-1996,19321
Jan-1997,7959
Feb-1997,8577
Mar-1997,10551
Apr-1997,9851
May-1997,11182
Jun-1997,10364
Jul-1997,10442
Aug-1997,12134
Sep-1997,10649
Oct-1997,11331
Nov-1997,12894
Dec-1997,20463
Jan-1998,8556
Feb-1998,9231
Mar-1998,10572
Apr-1998,11521
May-1998,11914
Jun-1998,11149
Jul-1998,11334
Aug-1998,12647
Sep-1998,10922
Oct-1998,12075
Nov-1998,13504
Dec-1998,21757
Jan-1999,8993
Feb-1999,9897
Mar-1999,11781
Apr-1999,12081
May-1999,12833
Jun-1999,11968
Jul-1999,12150
Aug-1999,13398
Sep-1999,12053
Oct-1999,12628
Nov-1999,14282
Dec-1999,23590
Jan-2000,9206
Feb-2000,10875
Mar-2000,12535
Apr-2000,12815
May-2000,13393
Jun-2000,12638
Jul-2000,12199
Aug-2000,14264
Sep-2000,13046
Oct-2000,13046
Nov-2000,15299
Dec-2000,24187
Jan-2001,9803
Feb-2001,11147
Mar-2001,12749
Apr-2001,13047
May-2001,13443
Jun-2001,12620
Jul-2001,12291
Aug-2001,14470
Sep-2001,11815
Oct-2001,12899
Nov-2001,14977
Dec-2001,23850
Jan-2002,10071
Feb-2002,11410
Mar-2002,13632
Apr-2002,12865
May-2002,13785
Jun-2002,12881
Jul-2002,12557
Aug-2002,14760
Sep-2002,12138
Oct-2002,13668
Nov-2002,15524
Dec-2002,24643
Jan-2003,10523
Feb-2003,11344
Mar-2003,13125
Apr-2003,13356
May-2003,14360
Jun-2003,13163
Jul-2003,13519
Aug-2003,15151
Sep-2003,13236
Oct-2003,14251
Nov-2003,16155
Dec-2003,26020
Jan-2004,11489
Feb-2004,12990
Mar-2004,14410
Apr-2004,14702
May-2004,15002
Jun-2004,13888
Jul-2004,14314
Aug-2004,15219
Sep-2004,13884
Oct-2004,15207
Nov-2004,16823
Dec-2004,27633
Jan-2005,11740
Feb-2005,13520
Mar-2005,15358
Apr-2005,15338
May-2005,15597
Jun-2005,15182
Jul-2005,14865
Aug-2005,16311
Sep-2005,14606
Oct-2005,16126
Nov-2005,17972
Dec-2005,29465
Jan-2006,12582
Feb-2006,14111
Mar-2006,16011
Apr-2006,16475
May-2006,16703
Jun-2006,16126
Jul-2006,15909
Aug-2006,17432
Sep-2006,16389
Oct-2006,16873
Nov-2006,18949
Dec-2006,30652
Jan-2007,13581
Feb-2007,14682
Mar-2007,17623
Apr-2007,16692
May-2007,18020
Jun-2007,16864
Jul-2007,16459
Aug-2007,18405
Sep-2007,16346
Oct-2007,17179
Nov-2007,20035
Dec-2007,29761
Jan-2008,13812
Feb-2008,15468
Mar-2008,17341
Apr-2008,16696
May-2008,18616
Jun-2008,16595
Jul-2008,16964
Aug-2008,18612
Sep-2008,15502
Oct-2008,16397
Nov-2008,18319
Dec-2008,26035
Jan-2009,13060
Feb-2009,14320
Mar-2009,15195
Apr-2009,15953
May-2009,16832
Jun-2009,15057
Jul-2009,15627
Aug-2009,17253
Sep-2009,15243
Oct-2009,16642
Nov-2009,17881
Dec-2009,26378
Jan-2010,12866
Feb-2010,14432
Mar-2010,16972
Apr-2010,16632
May-2010,17284
Jun-2010,15740
Jul-2010,16444
Aug-2010,17522
Sep-2010,15853
Oct-2010,17008
Nov-2010,19537
Dec-2010,27815
Jan-2011,13358
Feb-2011,15538
Mar-2011,17821
Apr-2011,18209
May-2011,18309
Jun-2011,17355
Jul-2011,17521
Aug-2011,18828
Sep-2011,17575
Oct-2011,17833
Nov-2011,20478
Dec-2011,30334
Jan-2012,13998
Feb-2012,17496
Mar-2012,19709
Apr-2012,18175
May-2012,19476
Jun-2012,18272
Jul-2012,17852
Aug-2012,20290
Sep-2012,17954
Oct-2012,18395
Nov-2012,21502
Dec-2012,30692
Jan-2013,14800
Feb-2013,16971
Mar-2013,20125
Apr-2013,18758
May-2013,20319
Jun-2013,18519
Jul-2013,18764
Aug-2013,21102
Sep-2013,17713
Oct-2013,19427
Nov-2013,21950
Dec-2013,30821
Jan-2014,14828
Feb-2014,17106
Mar-2014,19639
Apr-2014,19889
May-2014,21094
Jun-2014,18536
Jul-2014,19413
Aug-2014,21528
Sep-2014,18243
Oct-2014,19790
Nov-2014,22985
Dec-2014,31870
Jan-2015,15417
Feb-2015,17593
Mar-2015,20293
Apr-2015,19952
May-2015,21665
Jun-2015,19252
Jul-2015,20158
Aug-2015,21884
Sep-2015,18769
Oct-2015,20263
Nov-2015,22575
Dec-2015,32614
Jan-2016,15322
Feb-2016,18486
Mar-2016,20997
Apr-2016,19951
May-2016,21165
Jun-2016,19723
Jul-2016,20233
Aug-2016,21918
Sep-2016,19391
Oct-2016,20105
Nov-2016,23176
Dec-2016,33817
Jan-2017,15473
Feb-2017,17538
Mar-2017,20800
Apr-2017,20625
May-2017,21384
Jun-2017,20092
Jul-2017,20273
Aug-2017,22200
Sep-2017,19381
Oct-2017,19926
Nov-2017,23911
Dec-2017,32958
Jan-2018,15316
Feb-2018,17879
Mar-2018,21580
Apr-2018,19853
May-2018,22952
Jun-2018,20703
Jul-2018,21067
Aug-2018,22457
Sep-2018,19227
Oct-2018,20599
Nov-2018,24658
Dec-2018,33074
Jan-2019,15709
Feb-2019,17456
Mar-2019,21468
Apr-2019,20864
May-2019,22443
Jun-2019,20537
Jul-2019,21128
Aug-2019,23201
Sep-2019,19018
Oct-2019,20828
Nov-2019,24454
Dec-2019,34163
Jan-2020,16314
Feb-2020,18587
Mar-2020,10614
Apr-2020,2631
May-2020,8403
Jun-2020,15756
Jul-2020,17056
Aug-2020,18045
Sep-2020,17845
Oct-2020,19047
Nov-2020,20197
Dec-2020,30425
Jan-2021,14864
Feb-2021,15471
Mar-2021,22898
Apr-2021,22386
May-2021,24962
Jun-2021,23705
Jul-2021,24315
Aug-2021,24108
Sep-2021,21703
Oct-2021,23350
Nov-2021,27451
Dec-2021,37490
Jan-2022,17137
Feb-2022,19345
Mar-2022,24310
Apr-2022,24428
May-2022,25313
Jun-2022,23552
Jul-2022,23733
Aug-2022,24772
Sep-2022,22359
Oct-2022,23409
Nov-2022,27000
Dec-2022,37932
Jan-2023,18427
Feb-2023,19902
Mar-2023,23641
Apr-2023,23422
May-2023,25160
Jun-2023,23528
Jul-2023,24075
Aug-2023,25772
Sep-2023,22573
Oct-2023,23143
Nov-2023,27490
Dec-2023,39318
Jan-2024,18472
Feb-2024,21169
Mar-2024,24109
Apr-2024,23150
May-2024,26511
Jun-2024,24285
Jul-2024,24575
Aug-2024,26262
Sep-2024,22259
Oct-2024,24359
Nov-2024,28716
Dec-2024,39876
Jan-2025,19461
Feb-2025,20653
Mar-2025,24941
Apr-2025,24739
May-2025,27941
Jun-2025,24869
Jul-2025,NA
Aug-2025,NA
Sep-2025,NA
Oct-2025,NA
Nov-2025,NA
Dec-2025,NA
